form,root,to_derive,to_translate,word,context,lgg,trs_direct,trs_context,trs_dbl_trans,to_check,word_type,end_class
n,default,yes,yes,default,this website is a default,am,ነባሪ,ይህ ድር ጣቢያ ነባሪ ነው,It was,,attr,other
v,default,yes,yes,defaulted,website is defaulted to this page,am,defaulted,ጣቢያህ ከዚህ ገጽ ጋር defaulted ነው,defaulted,,attr,other
n,default,yes,yes,defaults,these websites are defaults,am,ነባሪዎች,እነዚህ ድር ጣቢያዎች ነባሪዎች ናቸው,defaults,,attr,other
v,delete,yes,yes,delete,delete your website,am,ሰርዝ,የእርስዎን ድር ጣቢያ ሰርዝ,Delete,,attr,expired
v,delete,yes,yes,deleted,website is deleted,am,የተደመሰሱ,ድር ጣቢያ ይሰረዛል ነው,deleted,XXX,attr,expired
v,delete,yes,yes,deletes,it deletes your page,am,ይሰርዛል,የእርስዎ ገጽ ይሰርዛል,deletes,,attr,expired
v,delete,yes,yes,deleting,deleting your website,am,በመሰረዝ ላይ,የእርስዎ ድር ጣቢያ በመሰረዝ,deleting,XXX,attr,expired
v,develop,yes,yes,develop,owners develop website,am,ማዳበር,ባለቤቶች ድር እንዲያዳብሩ,Enrichment,XXX,attr,other
v,develop,yes,yes,developed,website is developed,am,የተገነቡ,ድር የተገነቡ ነው,developed,,attr,other
n,develop,yes,yes,developer,developer is programming,am,ገንቢ,የገንቢ ፕሮግራም ነው,Developer,,attr,other
n,develop,yes,yes,developers,developers are programming websites,am,ገንቢዎች,ገንቢዎች ድር ፕሮግራም ነው,Developers,,attr,other
v,develop,yes,yes,developing,website is developing the website,am,በማደግ ላይ,ድር ጣቢያው በመሥራት ላይ ነው,developing,XXX,attr,other
n,develop,yes,yes,developing,developing your website is good,am,በማደግ ላይ,የእርስዎ ድር ጣቢያ ለማዳበር ጥሩ ነው,developing,XXX,attr,other
n,develop,yes,yes,development,page under development,am,ልማት,ልማት ሥር ገጽ,development,,attr,other
n,develop,yes,yes,developments,developments are ongoing,am,እድገቶች,እድገቶች በመካሄድ ላይ ናቸው,developments,,attr,other
v,develop,yes,yes,develops,owner develops website,am,ያዳብራል,ባለቤት ድር ያዳብራል,Leland,,attr,other
v,display,yes,yes,display,display your new website,am,ማሳያ,የእርስዎ አዲስ ድረ ማሳየት,display,XXX,attr,other
v,display,yes,yes,displayed,this page is displayed automatically,am,የሚታየው,ይህ ገጽ በራስ-ሰር ይታያል,visible,XXX,attr,other
v,display,yes,yes,displaying,this page is displaying a new website,am,በማሳየት ላይ,ይህ ገጽ አዲስ ድረ እያሳየ ነው,showing,XXX,attr,other
v,display,yes,yes,displays,this page displays a new website,am,ማሳያዎች,ይህ ገጽ አዲስ ድረ ያሳያል,demos,XXX,attr,other
n,display,yes,yes,displays,this page displays a new website,am,ማሳያዎች,ይህ ገጽ አዲስ ድረ ያሳያል,demos,XXX,attr,other
n,domain,yes,yes,domain,this internet domain is great,am,ጎራ,ይህ የበይነመረብ ጎራ ታላቅ ነው,domain,,core,other
n,domain,yes,yes,domains,these internet domains are great,am,ጎራዎች,እነዚህ የኢንተርኔት ጎራዎች ታላቅ ናቸው,domains,,core,other
v,establish,yes,yes,establish,establish your website,am,ለመመስረት,የእርስዎን ድር ለመመስረት,establish,,attr,other
v,establish,yes,yes,established,website is established by us,am,የተቋቋመ,ድረ በእኛ የተቋቋመ ነው,established,,attr,other
v,establish,yes,yes,establishes,it establishes websites,am,መሠረት ሲይዝ,ይሄ ድር ጣቢያዎች ይመሰርታል,according to dusk,XXX,attr,other
v,establish,yes,yes,establishing,establishing your website,am,ማቋቋም,የእርስዎ ድር ጣቢያ ማቋቋም,setting up,,attr,other
n,establish,yes,yes,establishment,website establishment for free,am,ድርጅት,በነጻ ድር ጣቢያ ለማቋቋም,organization,XXX,attr,other
n,expire,yes,yes,expiration,expiration is reached,am,ማለፍ,የማብቂያ ጊዜ ደርሷል ነው,Passing,XXX,attr,expired
v,expire,yes,yes,expire,websites expire soon,am,አለቀ,ድር በቅርቡ ይቃጠላል,chief,XXX,attr,expired
v,expire,yes,yes,expired,websites is expired,am,ጊዜው አልፎበታል,ድር ጣቢያዎች ተቃጥሏል,expired,XXX,attr,expired
v,expire,yes,yes,expires,website expires soon,am,ጊዜው ያልፍበታል,ድር ጣቢያ በቅርቡ ጊዜው ያልፍበታል,Expires,,attr,expired
v,expire,yes,yes,expiring,website is expiring soon,am,እያለፈበት,ድር ጣቢያ በቅርቡ እያለፈበት ነው,expiring,,attr,expired
r,first,yes,yes,first,this is your first article,am,አንደኛ,ይህ የመጀመሪያ ርዕስ ነው,the first,XXX,attr,starter
v,generate,yes,yes,generate,algorithms generate automatically,am,አወጣ,ስልተ-ሰር ለማመንጨት,unpack,XXX,attr,other
v,generate,yes,yes,generated,page is generated automatically,am,የመነጨ,ገጽ በራስ-ሰር የመነጨ ነው,generated,,attr,other
v,generate,yes,yes,generates,algorithm generates automatically,am,ያመነጫል,ስልተ-ሰር ያመነጫል,generates,,attr,other
v,generate,yes,yes,generating,algorithm is generating automatically,am,ማመንጨት,ስልተ-ሰር ማመንጨት ላይ ነው,Brainstorming,,attr,other
n,generate,yes,yes,generation,page generation is automatic,am,ትዉልድ,ገጽ ትውልድ ሰር ነው,generation,XXX,attr,other
n,generate,yes,yes,generations,page generations are free,am,ትውልዶች,ገጽ ትውልድ ነጻ ናቸው,generations,XXX,attr,other
n,generate,yes,yes,generator,a page generator is provided,am,ጄኔሬተር,አንድ ገጽ ጄኔሬተር የቀረበ ነው,generator,,attr,other
n,generate,yes,yes,generators,page generators are available,am,ማመንጫዎች,ገጽ ማመንጫዎች ይገኛሉ,generators,,attr,other
v,link,yes,yes,link,link your domain to a website,am,ማያያዣ,አንድ ድር ጣቢያ ወደ የእርስዎ ጎራ ማገናኘት,link,XXX,attr,other
n,link,yes,yes,linkage,linkage of websites and domain,am,ትስስር,ድር ጣቢያዎች እና ጎራ ትስስር,ties,,attr,other
v,link,yes,yes,linked,domain is linked to a website,am,ተገናኝቷል,ጎራ አንድ ድር ጣቢያ ጋር የተገናኘ ነው,connected,XXX,attr,other
v,link,yes,yes,linking,linking your domain to a website,am,ማገናኘት,አንድ ድር ጣቢያ ወደ ጎራ በማገናኘት,Linking,,attr,other
v,link,yes,yes,links,it links a website to a domain,am,አገናኞች,ይህ ጎራ አንድ ድር ጣቢያ የሚያገናኝ,links,XXX,attr,other
v,maintain,yes,yes,maintain,maintain your website,am,ጠብቀው,የእርስዎን ድር ጠብቀው,to maintain,,attr,construction
v,maintain,yes,yes,maintained,website is maintained,am,ጠብቋል,ድር ጠብቆ ነው,Protected,XXX,attr,construction
n,maintain,yes,yes,maintainer,the maintainer is busy,am,ጠጋኝ,የ ጠጋኝ ስራ ላይ ነው,patch,,attr,construction
n,maintain,yes,yes,maintainers,the maintainers are busy,am,ጠባቂዎችና,ስለ ጠባቂዎችና ስራ ላይ ናቸው,navy,,attr,construction
v,maintain,yes,yes,maintaining,the owner is maintaining this website,am,ጠብቆ,ባለቤቱ ይህንን ድር ጣቢያ ጠብቆ ነው,maintaining,,attr,construction
n,maintain,yes,yes,maintenance,website is under maintenance,am,ጥገና,ድር ጥገና በታች ነው,repair,,attr,construction
n,maintain,yes,yes,maintenances,maintenances are done,am,maintenances,maintenances ጨርሰዋል,maintenances,,attr,construction
v,open,yes,yes,opened,domain is opened by you,am,ተከፍቷል,ጎራ ባንተ አልተከፈቱም ነው,opened,XXX,attr,other
v,open,yes,yes,opening,website is opening soon,am,ቀዳዳ,ድር ጣቢያ በቅርቡ መክፈቻ ነው,hole,XXX,attr,other
v,own,yes,yes,own,they own this website,am,የግል,እነርሱ ይህንን ድር ጣቢያ ባለቤት,private,XXX,attr,reserved
v,own,yes,yes,owned,this website is owned by you,am,ባለቤትነት,በዚህ ድር ጣቢያ እርስዎ የተያዘ ነው,ownership,XXX,attr,reserved
n,own,yes,yes,owner,the owner of this domain,am,ባለቤት,የዚህ ጎራ ባለቤት,owner,,attr,reserved
n,own,yes,yes,owners,the owners of this domain,am,ባለቤቶች,የዚህ ጎራ ባለቤቶች,owners,,attr,reserved
n,own,yes,yes,ownership,ownership of a website,am,ባለቤትነት,አንድ ድር ጣቢያ ባለቤትነት,ownership,,attr,reserved
n,own,yes,yes,ownerships,ownerships of a website,am,ባለቤትነቶች,አንድ ድር ጣቢያ ባለቤትነቶች,ownerships,,attr,reserved
v,own,yes,yes,owning,owning a website,am,ተወርሷል,አንድ ድር ጣቢያ የራሳቸዉ,owning,XXX,attr,reserved
v,own,yes,yes,owns,the man owns this website,am,የራስዎ ነው,ሰው ይህንን ድር ጣቢያ ባለቤት,owns,XXX,attr,reserved
v,page,yes,yes,page,this is a new website page,am,ገጽ,ይህ አዲስ ድረ ገጽ ነው,page,,core,other
v,page,yes,yes,paged,this website is not paged yet,am,ያስችላለ,ይህ ድር ጣቢያ ገና ያስችላለ አይደለም,backward,,core,other
v,page,yes,yes,pages,add your pages to this website,am,ገጾች,ይህን ድር ጣቢያ የእርስዎን ገጾች ያክሉ,pages,,core,other
v,park,yes,yes,park,to park a domain,am,መናፈሻ,አንድ ጎራ ለማቆምም,park,XXX,attr,other
v,park,yes,yes,parked,domain is parked,am,እንዳቆሙ,ጎራ እንዳቆሙ ነው,Doorstep,,attr,other
v,park,yes,yes,parking,this website is a parking page,am,የመኪና ማቆሚያ,ይህ ድር ጣቢያ የመኪና ማቆሚያ ገጽ ነው,car park,,attr,other
v,post,yes,yes,post,post your first article,am,ልጥፍ,የመጀመሪያ ጽሑፍ ይለጥፉ,post,XXX,core,other
n,post,yes,yes,post,this is a first post on this page,am,ልጥፍ,ይህ በዚህ ገጽ ላይ የመጀመሪያ ልጥፍ ነው,post,,core,other
v,post,yes,yes,posted,this page is posted automatically,am,ለጥፈዋል,ይህ ገጽ በራስ-ሰር ለጥፈዋል ነው,posted,,core,other
v,post,yes,yes,posting,posting on this page is nice,am,የመለጠፍ,በዚህ ገጽ ላይ መለጠፍ ጥሩ ነው,post,XXX,core,other
v,post,yes,yes,posts,it posts a new article,am,ልጥፎች,አንድ አዲስ ርዕስ ልጥፎች,posts,,core,other
n,post,yes,yes,posts,start writing your posts,am,ልጥፎች,የእርስዎ ልጥፎችን በመጻፍ ይጀምሩ,posts,,core,other
v,propagate,yes,yes,propagate,propagate your website,am,እስኪሰራጩ,የእርስዎን ድር እስኪሰራጩ,to propagate,,attr,other
v,propagate,yes,yes,propagated,domain is propagated,am,ፕሮፓጋንዳዎች,ጎራ ፕሮፓጋንዳዎች ነው,propaganda,,attr,other
v,propagate,yes,yes,propagates,it propagates your website,am,ያስፋፋል,የእርስዎ ድር ያስፋፋል,Breeds,,attr,other
v,propagate,yes,yes,propagating,propagating your website,am,እንዲባዙ,የእርስዎ ድር ጣቢያ እንዲባዙ,proliferation,,attr,other
n,propagate,yes,yes,propagation,website and domain propagation,am,propagation,የድር ጣቢያ እና የጎራ propagation,propagation,,attr,other
v,purchase,yes,yes,purchase,purchase this domain,am,ግዢ,ይህን ጎራ ለመግዛት,Shopping,XXX,attr,sale
n,purchase,yes,yes,purchase,the owners purchase websites,am,ግዢ,ባለቤቶች ድር ለመግዛት,Shopping,XXX,attr,sale
v,purchase,yes,yes,purchased,domain is purchased by you,am,የተገዛ,ጎራ ለእርስዎ የተገዛው ነው,purchased,,attr,sale
n,purchase,yes,yes,purchaser,the purchaser of website is happy,am,በገዢው,ድር በገዢው ደስተኛ ነው,governor,,attr,sale
n,purchase,yes,yes,purchasers,the purchasers of website are happy,am,ሽያጮች,ድረ ገጽ ሽያጮች ደስተኞች ናቸው,sales,,attr,sale
v,purchase,yes,yes,purchases,owner purchases websites,am,ግዢዎች,ባለቤት ግዢዎች ድር ጣቢያዎች,purchases,,attr,sale
n,purchase,yes,yes,purchases,the owner purchases websites,am,ግዢዎች,ባለቤቱ ግዢዎች ድር ጣቢያዎች,purchases,,attr,sale
v,purchase,yes,yes,purchasing,purchasing a website is good,am,ግዢ,አንድ ድር ጣቢያ በመግዛት ጥሩ ነው,Shopping,XXX,attr,sale
v,register,yes,yes,register,register your domain here,am,መዝገብ,እዚህ ጎራ ማስመዝገብ,log,,attr,reserved
n,register,yes,yes,register,website register is available,am,መዝገብ,ድር መመዝገቢያ ይገኛል,log,XXX,attr,reserved
v,register,yes,yes,registered,domain is registered here,am,የተመዘገበ,ጎራ እዚህ ላይ ተመዝግቧል,registered,XXX,attr,reserved
v,register,yes,yes,registering,it is registering at your company,am,በመመዝገብ,የእርስዎ ኩባንያ ላይ በማስመዝገብ ላይ ነው,registering,XXX,attr,reserved
v,register,yes,yes,registers,website registers at your company,am,የመመዝገብ,የእርስዎ ኩባንያ በ ድር የመመዝገብ,Signup,,attr,reserved
n,register,yes,yes,registration,domain registration is cheap,am,መመዝገብ,የጎራ ምዝገባ ርካሽ ነው,registration,XXX,attr,reserved
n,register,yes,yes,registrations,domain registrations are cheap,am,ምዝገባ,የጎራ ምዝገባ ርካሽ ናቸው,registration,,attr,reserved
n,register,yes,yes,registries,website registries are available,am,registries,የድር ጣቢያ registries ይገኛሉ,registries,,attr,reserved
n,register,yes,yes,registry,website registry is available,am,መዝገብ,ድረ መዝገብ ይገኛል,log,,attr,reserved
n,reserve,yes,yes,reservation,the reservation of a domain is cheap,am,ቦታ መያዝ,አንድ ጎራ ቦታ ማስያዝ ርካሽ ነው,reservation,XXX,attr,reserved
v,reserve,yes,yes,reserve,reserve your domain,am,አስቀድሞ ቦታ ያዘ,በእርስዎ ጎራ መያዝ,Reserve,XXX,attr,reserved
v,reserve,yes,yes,reserved,domain is reserved,am,የተያዘ,ጎራ ተይዟል,reserved,XXX,attr,reserved
v,reserve,yes,yes,reserves,he reserves a domain,am,ክምችት,አንድ ጎራ የተጠበቀ,collection,XXX,attr,reserved
v,reserve,yes,yes,reserving,reserving a domain,am,reserving,አንድ ጎራ reserving,reserving,,attr,reserved
n,sale,yes,yes,sale,websites are for sale,am,ሽያጭ,ድር ለሽያጭ ናቸው,Sale,,attr,sale
n,sale,yes,yes,sales,websites are for sales,am,የሽያጭ,ድር ሽያጮች ናቸው,sales,XXX,attr,sale
v,site,yes,yes,site,your new internet site is ready,am,ጣቢያ,አዲሱ የበይነመረብ ጣቢያ ዝግጁ ነው,station,,core,other
v,site,yes,yes,sites,your new internet sites are ready,am,ጣቢያዎች,አዲሱ የበይነመረብ ጣቢያዎች ዝግጁ ናቸው,sites,,core,other
v,suspend,yes,yes,suspend,we suspend your website,am,ታገደ,የእርስዎን ድር የማገድ,suspend,XXX,attr,blocked
v,suspend,yes,yes,suspended,website is suspended,am,ታግዷል,ድር ታግዷል,blocked,,attr,blocked
v,suspend,yes,yes,suspending,suspending of website is definitive,am,አግደናል,ድር አግደናል ወሳኝ ነው,suspending,,attr,blocked
v,suspend,yes,yes,suspends,he suspends his website,am,በባዶው,እርሱ ድር በባዶው,nothing,,attr,blocked
n,suspend,yes,yes,suspension,website suspension is possible,am,ማገድ,ድር እገዳ ይቻላል,suspension,XXX,attr,blocked
n,suspend,yes,yes,suspensions,domain suspensions are possible,am,እገዳዎች,የጎራ እገዳዎች ይቻላል ናቸው,Constraints,,attr,blocked
v,take,yes,yes,take,take a new web domain,am,መውሰድ,አዲስ የድር ጎራ መውሰድ,to take,,attr,other
v,take,yes,yes,taken,domain is taken,am,ይወሰዳል,ጎራ ይወሰዳል,will be,,attr,other
v,take,yes,yes,takes,it takes your domain,am,ይወስዳል,የእርስዎ ጎራ ይወስዳል,It takes,,attr,other
v,take,yes,yes,taking,taking your new website,am,የመውሰድ,አዲሱን ድር ጣቢያ በመውሰድ,Cast,XXX,attr,other
v,take,yes,yes,took,took your website,am,ወሰደ,የእርስዎ ድር ጣቢያ ወሰደ,took,,attr,other
a,unavailable,yes,yes,unavailable,website is unavailable,am,አይገኝም,ድር ጣቢያ አይገኝም,not available,,attr,other
v,undergo,yes,yes,undergo,undergo a website improvement,am,የሚደርስብንን,አንድ ድር ጣቢያ ማሻሻያ ያልፋል,Bearing,XXX,attr,other
v,undergo,yes,yes,undergoes,website undergoes improvements,am,ቢያጠፋ,ድር ላይ በሚመጣበት ማሻሻያዎች,and loses,XXX,attr,other
v,undergo,yes,yes,undergoing,development of website is undergoing,am,እየተወሰዱ ያሉ,ድረ-ልማት እያካሄደ ነው,taking place in,XXX,attr,other
v,undergo,yes,yes,undergone,website has undergone an improvement,am,ተሠቃየች,ድር ጣቢያ አንድ ማሻሻያ አድርጓል,physicians,XXX,attr,other
v,undergo,yes,yes,underwent,website underwent an improvement,am,ከተነገሩት,ድር ጣቢያ አንድ ማሻሻያ ተደረገላት,syllable,XXX,attr,other
v,upload,yes,yes,upload,upload your website,am,ሰቀላ,የእርስዎን ድር መስቀል,Upload,XXX,attr,starter
n,website,yes,yes,website,this internet website is great,am,ድህረገፅ,ይህ የኢንተርኔት ድረ ታላቅ ነው,website,XXX,core,other
n,website,yes,yes,websites,these internet websites are great,am,ድር ጣቢያዎች,እነዚህ የኢንተርኔት ድረ ታላቅ ናቸው,web sites,XXX,core,other
a,acquire,yes,yes,acquirable,domain is acquirable,ar,الامتلاك,نطاق غير الامتلاك,Acquirable,,attr,sale
v,acquire,yes,yes,acquire,aquire a website,ar,يكتسب,aquire موقع على شبكة الانترنت,Acquire,XXX,attr,sale
v,acquire,yes,yes,acquired,website is acquired,ar,مكتسب,ويكتسب الموقع,acquired,XXX,attr,sale
n,acquire,yes,yes,acquirer,the acquirer of this website is happy,ar,المستحوذ,المقتنية من هذا الموقع هو سعيد,Acquiree,XXX,attr,sale
v,acquire,yes,yes,acquires,it acquires your domain,ar,يكتسب,يكتسب نطاقك,Acquire,,attr,sale
v,acquire,yes,yes,acquiring,acquiring a website,ar,كسب,الحصول على موقع على شبكة الانترنت,earn,XXX,attr,sale
n,acquire,yes,yes,acquisition,acquisition of website is free,ar,استحواذ,الاستحواذ على الموقع مجانا,Obsession,,attr,sale
n,acquire,yes,yes,acquisitions,website acquisitions for free,ar,الاستحواذ,الاستحواذ على الانترنت مجانا,Acquisitions,,attr,sale
a,authorized,yes,yes,authorized,website is not authorized,ar,مخول,غير مصرح الموقع,authorized,XXX,attr,other
a,available,yes,yes,available,website is available,ar,متاح,هو موقع متاح,Available,,attr,other
n,available,yes,yes,availableness,availableness is not guaranteed,ar,الوفرة,لم يتم ضمان الوفرة,Abundance,,attr,other
v,block,yes,yes,block,block your website,ar,منع,منع موقع الويب الخاص بك,block,,attr,blocked
v,block,yes,yes,blocked,website is blocked,ar,مسدود,تم حظر الموقع,Blocked,XXX,attr,blocked
v,block,yes,yes,blocking,blocking your website,ar,حجب,حجب موقع الويب الخاص بك,Blocking,,attr,blocked
v,buy,yes,yes,bought,domain is bought,ar,اشترى,يتم شراء نطاق,Buy,XXX,attr,sale
v,buy,yes,yes,buy,buy this domain,ar,يشترى,شراء هذا النطاق,Buy,XXX,attr,sale
n,buy,yes,yes,buy,a buy of domain is good,ar,يشترى,شراء المجال هو جيدة,Buy,XXX,attr,sale
n,buy,yes,yes,buyer,the website buyer is happy,ar,مشتر,المشتري الموقع هو سعيد,buyer,,attr,sale
n,buy,yes,yes,buyers,the website buyers are happy,ar,المشترين,المشترين الموقع سعداء,Buyers,,attr,sale
v,buy,yes,yes,buying,you are buying this website,ar,شراء,تقوم بشراء هذا الموقع,Purchase,,attr,sale
v,buy,yes,yes,buys,owner buys websites,ar,تشتري,يشتري صاحب المواقع,Buy,XXX,attr,sale
v,censor,yes,yes,censor,how to censor a website,ar,الرقيب,كيفية فرض رقابة على موقع على شبكة الانترنت,Sgt,XXX,attr,blocked
v,censor,yes,yes,censored,website is censored,ar,رقابة,وفرض الرقابة على الانترنت,Censorship,,attr,blocked
v,censor,yes,yes,censoring,court is censoring this website,ar,فرض رقابة,المحكمة وفرض رقابة على هذا الموقع,The imposition of censorship,,attr,blocked
v,come,yes,yes,coming,website is coming soon,ar,آت,الموقع قريبا,at,XXX,other,other
v,construct,yes,yes,construct,how to construct a website,ar,بناء,كيفية بناء موقع على شبكة الانترنت,Building,,attr,construction
n,construct,yes,yes,construct,a construct of website is great,ar,بناء,بناء من الموقع هو عظيم,Building,,attr,construction
v,construct,yes,yes,constructed,website is constructed,ar,إنشاؤه,تم بناء الموقع,Created,XXX,attr,construction
v,construct,yes,yes,constructing,constructing a website,ar,بناء,بناء موقع على شبكة الانترنت,Building,,attr,construction
n,construct,yes,yes,construction,website is under construction,ar,اعمال بناء,الموقع قيد الإنشاء,Construction,XXX,attr,construction
n,construct,yes,yes,constructions,constructions of a website,ar,اعمال البناء,المنشآت لموقع على شبكة الانترنت,Construction work,XXX,attr,construction
n,construct,yes,yes,constructor,the website constructor is busy,ar,البناء,منشئ الموقع هو مشغول,Building,XXX,attr,construction
n,construct,yes,yes,constructors,website constructors are busy,ar,الصانعين,الصانعين موقع مشغولون,Manufacturers,,attr,construction
v,construct,yes,yes,constructs,it constructs a website,ar,بنيات,فإنه يبني موقع على شبكة الانترنت,Structures,XXX,attr,construction
v,create,yes,yes,create,create your website,ar,خلق,إنشاء موقع الويب الخاص بك,Create,XXX,attr,starter
v,create,yes,yes,created,website is created with you,ar,خلقت,يتم إنشاء موقع معك,Created,XXX,attr,starter
v,create,yes,yes,creates,he creates his website,ar,يخلق,انه يخلق موقعه على الانترنت,Creates,,attr,starter
v,create,yes,yes,creating,creating your website is good,ar,خلق,إنشاء موقع الويب الخاص بك هو جيد,Create,XXX,attr,starter
n,create,yes,yes,creation,creation of a website is free,ar,خلق,إنشاء موقع على شبكة الانترنت مجانا,Create,XXX,attr,starter
n,create,yes,yes,creator,creator of the website has not finished yet,ar,المنشئ,لم ينته خالق الموقع حتى الآن,The originator,XXX,attr,starter
n,create,yes,yes,creators,creator of the website have not finished yet,ar,المبدعين,وقد الخالق للموقع لم ينته بعد,Creators,XXX,attr,starter
v,default,yes,yes,default,how to default a website,ar,إفتراضي,كيفية الافتراضي على شبكة الانترنت,hypothetical,XXX,attr,other
n,default,yes,yes,default,this website is a default,ar,إفتراضي,هذا الموقع هو الافتراضي,hypothetical,XXX,attr,other
